t	freq	init_freq	Ne	s
182	0.2056	0.1	10000	-0.02
183	0.2003	0.1	10000	-0.02
184	0.2018	0.1	10000	-0.02
185	0.2002	0.1	10000	-0.02
186	0.1969	0.1	10000	-0.02
187	0.1933	0.1	10000	-0.02
188	0.188	0.1	10000	-0.02
189	0.1824	0.1	10000	-0.02
190	0.1863	0.1	10000	-0.02
191	0.1814	0.1	10000	-0.02
192	0.1825	0.1	10000	-0.02
193	0.183	0.1	10000	-0.02
194	0.1821	0.1	10000	-0.02
195	0.178	0.1	10000	-0.02
196	0.1712	0.1	10000	-0.02
197	0.169	0.1	10000	-0.02
198	0.1733	0.1	10000	-0.02
199	0.1741	0.1	10000	-0.02
200	0.1757	0.1	10000	-0.02
