t	n	a	init_freq	Ne	s	freq
1	100	9	0.1	10000	0.02	0.1061
2	0	0	0.1	10000	0.02	0.1096
3	0	0	0.1	10000	0.02	0.1097
4	0	0	0.1	10000	0.02	0.1089
5	0	0	0.1	10000	0.02	0.109
6	0	0	0.1	10000	0.02	0.1153
7	0	0	0.1	10000	0.02	0.1194
8	0	0	0.1	10000	0.02	0.1227
9	0	0	0.1	10000	0.02	0.1277
10	100	14	0.1	10000	0.02	0.1241
11	0	0	0.1	10000	0.02	0.1179
12	0	0	0.1	10000	0.02	0.1171
13	0	0	0.1	10000	0.02	0.1166
14	0	0	0.1	10000	0.02	0.1181
15	0	0	0.1	10000	0.02	0.1244
16	0	0	0.1	10000	0.02	0.1284
17	0	0	0.1	10000	0.02	0.1274
18	0	0	0.1	10000	0.02	0.1314
19	0	0	0.1	10000	0.02	0.1362
20	100	17	0.1	10000	0.02	0.1345
21	0	0	0.1	10000	0.02	0.1359
22	0	0	0.1	10000	0.02	0.1431
23	0	0	0.1	10000	0.02	0.1507
24	0	0	0.1	10000	0.02	0.1503
25	0	0	0.1	10000	0.02	0.1481
26	0	0	0.1	10000	0.02	0.1463
27	0	0	0.1	10000	0.02	0.1472
28	0	0	0.1	10000	0.02	0.1514
29	0	0	0.1	10000	0.02	0.1572
30	100	21	0.1	10000	0.02	0.1614
31	0	0	0.1	10000	0.02	0.1654
32	0	0	0.1	10000	0.02	0.1622
33	0	0	0.1	10000	0.02	0.1613
34	0	0	0.1	10000	0.02	0.1649
35	0	0	0.1	10000	0.02	0.1722
36	0	0	0.1	10000	0.02	0.171
37	0	0	0.1	10000	0.02	0.1743
38	0	0	0.1	10000	0.02	0.1757
39	0	0	0.1	10000	0.02	0.1841
40	100	7	0.1	10000	0.02	0.183
41	0	0	0.1	10000	0.02	0.1854
42	0	0	0.1	10000	0.02	0.1909
43	0	0	0.1	10000	0.02	0.1907
44	0	0	0.1	10000	0.02	0.1855
45	0	0	0.1	10000	0.02	0.1817
46	0	0	0.1	10000	0.02	0.181
47	0	0	0.1	10000	0.02	0.1847
48	0	0	0.1	10000	0.02	0.1855
49	0	0	0.1	10000	0.02	0.1895
50	100	21	0.1	10000	0.02	0.1904
51	0	0	0.1	10000	-0.02	0.1852
52	0	0	0.1	10000	-0.02	0.1808
53	0	0	0.1	10000	-0.02	0.1733
54	0	0	0.1	10000	-0.02	0.1733
55	0	0	0.1	10000	-0.02	0.1796
56	0	0	0.1	10000	-0.02	0.1758
57	0	0	0.1	10000	-0.02	0.1652
58	0	0	0.1	10000	-0.02	0.1549
59	0	0	0.1	10000	-0.02	0.1574
60	100	19	0.1	10000	-0.02	0.159
61	0	0	0.1	10000	-0.02	0.152
62	0	0	0.1	10000	-0.02	0.1522
63	0	0	0.1	10000	-0.02	0.1497
64	0	0	0.1	10000	-0.02	0.1497
65	0	0	0.1	10000	-0.02	0.1461
66	0	0	0.1	10000	-0.02	0.1475
67	0	0	0.1	10000	-0.02	0.1418
68	0	0	0.1	10000	-0.02	0.1425
69	0	0	0.1	10000	-0.02	0.1362
70	100	16	0.1	10000	-0.02	0.132
71	0	0	0.1	10000	-0.02	0.1309
72	0	0	0.1	10000	-0.02	0.1248
73	0	0	0.1	10000	-0.02	0.1207
74	0	0	0.1	10000	-0.02	0.1185
75	0	0	0.1	10000	-0.02	0.1161
76	0	0	0.1	10000	-0.02	0.116
77	0	0	0.1	10000	-0.02	0.1119
78	0	0	0.1	10000	-0.02	0.1093
79	0	0	0.1	10000	-0.02	0.1021
80	100	14	0.1	10000	-0.02	0.0984
81	0	0	0.1	10000	-0.02	0.0906
82	0	0	0.1	10000	-0.02	0.0894
83	0	0	0.1	10000	-0.02	0.0888
84	0	0	0.1	10000	-0.02	0.0896
85	0	0	0.1	10000	-0.02	0.0852
86	0	0	0.1	10000	-0.02	0.0883
87	0	0	0.1	10000	-0.02	0.0851
88	0	0	0.1	10000	-0.02	0.0865
89	0	0	0.1	10000	-0.02	0.0835
90	100	6	0.1	10000	-0.02	0.0817
91	0	0	0.1	10000	-0.02	0.0798
92	0	0	0.1	10000	-0.02	0.0795
93	0	0	0.1	10000	-0.02	0.0738
94	0	0	0.1	10000	-0.02	0.0695
95	0	0	0.1	10000	-0.02	0.0681
96	0	0	0.1	10000	-0.02	0.0688
97	0	0	0.1	10000	-0.02	0.0684
98	0	0	0.1	10000	-0.02	0.0664
99	0	0	0.1	10000	-0.02	0.0644
100	100	8	0.1	10000	-0.02	0.063
101	0	0	0.1	10000	0	0.0655
102	0	0	0.1	10000	0	0.068
103	0	0	0.1	10000	0	0.064
104	0	0	0.1	10000	0	0.0691
105	0	0	0.1	10000	0	0.0668
106	0	0	0.1	10000	0	0.0692
107	0	0	0.1	10000	0	0.0689
108	0	0	0.1	10000	0	0.0688
109	0	0	0.1	10000	0	0.0706
110	100	7	0.1	10000	0	0.0723
111	0	0	0.1	10000	0	0.0723
112	0	0	0.1	10000	0	0.0699
113	0	0	0.1	10000	0	0.0691
114	0	0	0.1	10000	0	0.0713
115	0	0	0.1	10000	0	0.0696
116	0	0	0.1	10000	0	0.0714
117	0	0	0.1	10000	0	0.0713
118	0	0	0.1	10000	0	0.0688
119	0	0	0.1	10000	0	0.0699
120	100	5	0.1	10000	0	0.071
121	0	0	0.1	10000	0	0.0679
122	0	0	0.1	10000	0	0.0693
123	0	0	0.1	10000	0	0.0682
124	0	0	0.1	10000	0	0.0667
125	0	0	0.1	10000	0	0.0646
126	0	0	0.1	10000	0	0.0646
127	0	0	0.1	10000	0	0.0615
128	0	0	0.1	10000	0	0.0679
129	0	0	0.1	10000	0	0.073
130	100	5	0.1	10000	0	0.0745
131	0	0	0.1	10000	0	0.0762
132	0	0	0.1	10000	0	0.0738
133	0	0	0.1	10000	0	0.0766
134	0	0	0.1	10000	0	0.0685
135	0	0	0.1	10000	0	0.0707
136	0	0	0.1	10000	0	0.075
137	0	0	0.1	10000	0	0.0747
138	0	0	0.1	10000	0	0.069
139	0	0	0.1	10000	0	0.0637
140	100	4	0.1	10000	0	0.0595
141	0	0	0.1	10000	0	0.0595
142	0	0	0.1	10000	0	0.0594
143	0	0	0.1	10000	0	0.0624
144	0	0	0.1	10000	0	0.0587
145	0	0	0.1	10000	0	0.0611
146	0	0	0.1	10000	0	0.0585
147	0	0	0.1	10000	0	0.0586
148	0	0	0.1	10000	0	0.0562
149	0	0	0.1	10000	0	0.0554
150	100	5	0.1	10000	0	0.0563
151	0	0	0.1	10000	0.02	0.057
152	0	0	0.1	10000	0.02	0.057
153	0	0	0.1	10000	0.02	0.0591
154	0	0	0.1	10000	0.02	0.0602
155	0	0	0.1	10000	0.02	0.0641
156	0	0	0.1	10000	0.02	0.0664
157	0	0	0.1	10000	0.02	0.0689
158	0	0	0.1	10000	0.02	0.0723
159	0	0	0.1	10000	0.02	0.0753
160	100	7	0.1	10000	0.02	0.0785
161	0	0	0.1	10000	0.02	0.0766
162	0	0	0.1	10000	0.02	0.0783
163	0	0	0.1	10000	0.02	0.0778
164	0	0	0.1	10000	0.02	0.0814
165	0	0	0.1	10000	0.02	0.0765
166	0	0	0.1	10000	0.02	0.0778
167	0	0	0.1	10000	0.02	0.079
168	0	0	0.1	10000	0.02	0.083
169	0	0	0.1	10000	0.02	0.0862
170	100	2	0.1	10000	0.02	0.0862
171	0	0	0.1	10000	0.02	0.0912
172	0	0	0.1	10000	0.02	0.0928
173	0	0	0.1	10000	0.02	0.0921
174	0	0	0.1	10000	0.02	0.0901
175	0	0	0.1	10000	0.02	0.0965
176	0	0	0.1	10000	0.02	0.097
177	0	0	0.1	10000	0.02	0.0942
178	0	0	0.1	10000	0.02	0.0989
179	0	0	0.1	10000	0.02	0.1064
180	100	9	0.1	10000	0.02	0.1071
181	0	0	0.1	10000	0.02	0.1053
182	0	0	0.1	10000	0.02	0.1012
183	0	0	0.1	10000	0.02	0.1037
184	0	0	0.1	10000	0.02	0.1068
185	0	0	0.1	10000	0.02	0.1103
186	0	0	0.1	10000	0.02	0.1129
187	0	0	0.1	10000	0.02	0.1164
188	0	0	0.1	10000	0.02	0.1173
189	0	0	0.1	10000	0.02	0.1166
190	100	9	0.1	10000	0.02	0.1235
191	0	0	0.1	10000	0.02	0.1272
192	0	0	0.1	10000	0.02	0.1318
193	0	0	0.1	10000	0.02	0.1365
