t	freq	init_freq	Ne	s
144	0.0587	0.1	10000	0
145	0.0611	0.1	10000	0
146	0.0585	0.1	10000	0
147	0.0586	0.1	10000	0
148	0.0562	0.1	10000	0
149	0.0554	0.1	10000	0
150	0.0563	0.1	10000	0
151	0.057	0.1	10000	0.02
152	0.057	0.1	10000	0.02
153	0.0591	0.1	10000	0.02
154	0.0602	0.1	10000	0.02
155	0.0641	0.1	10000	0.02
156	0.0664	0.1	10000	0.02
157	0.0689	0.1	10000	0.02
158	0.0723	0.1	10000	0.02
159	0.0753	0.1	10000	0.02
160	0.0785	0.1	10000	0.02
161	0.0766	0.1	10000	0.02
162	0.0783	0.1	10000	0.02
163	0.0778	0.1	10000	0.02
164	0.0814	0.1	10000	0.02
165	0.0765	0.1	10000	0.02
166	0.0778	0.1	10000	0.02
167	0.079	0.1	10000	0.02
168	0.083	0.1	10000	0.02
169	0.0862	0.1	10000	0.02
170	0.0862	0.1	10000	0.02
171	0.0912	0.1	10000	0.02
172	0.0928	0.1	10000	0.02
173	0.0921	0.1	10000	0.02
174	0.0901	0.1	10000	0.02
175	0.0965	0.1	10000	0.02
176	0.097	0.1	10000	0.02
177	0.0942	0.1	10000	0.02
178	0.0989	0.1	10000	0.02
179	0.1064	0.1	10000	0.02
180	0.1071	0.1	10000	0.02
181	0.1053	0.1	10000	0.02
182	0.1012	0.1	10000	0.02
183	0.1037	0.1	10000	0.02
184	0.1068	0.1	10000	0.02
185	0.1103	0.1	10000	0.02
186	0.1129	0.1	10000	0.02
187	0.1164	0.1	10000	0.02
188	0.1173	0.1	10000	0.02
189	0.1166	0.1	10000	0.02
190	0.1235	0.1	10000	0.02
191	0.1272	0.1	10000	0.02
192	0.1318	0.1	10000	0.02
193	0.1365	0.1	10000	0.02
194	0.1431	0.1	10000	0.02
195	0.1445	0.1	10000	0.02
196	0.1423	0.1	10000	0.02
197	0.1468	0.1	10000	0.02
198	0.1543	0.1	10000	0.02
199	0.1599	0.1	10000	0.02
200	0.1673	0.1	10000	0.02
