t	freq	init_freq	Ne	s
1	0.1061	0.1	10000	0.02
2	0.1096	0.1	10000	0.02
3	0.1097	0.1	10000	0.02
4	0.1089	0.1	10000	0.02
5	0.109	0.1	10000	0.02
6	0.1153	0.1	10000	0.02
7	0.1194	0.1	10000	0.02
8	0.1227	0.1	10000	0.02
9	0.1277	0.1	10000	0.02
10	0.1241	0.1	10000	0.02
11	0.1179	0.1	10000	0.02
12	0.1171	0.1	10000	0.02
13	0.1166	0.1	10000	0.02
14	0.1181	0.1	10000	0.02
15	0.1244	0.1	10000	0.02
16	0.1284	0.1	10000	0.02
17	0.1274	0.1	10000	0.02
18	0.1314	0.1	10000	0.02
19	0.1362	0.1	10000	0.02
20	0.1345	0.1	10000	0.02
21	0.1359	0.1	10000	0.02
22	0.1431	0.1	10000	0.02
23	0.1507	0.1	10000	0.02
24	0.1503	0.1	10000	0.02
25	0.1481	0.1	10000	0.02
26	0.1463	0.1	10000	0.02
27	0.1472	0.1	10000	0.02
28	0.1514	0.1	10000	0.02
29	0.1572	0.1	10000	0.02
30	0.1614	0.1	10000	0.02
31	0.1654	0.1	10000	0.02
32	0.1622	0.1	10000	0.02
33	0.1613	0.1	10000	0.02
34	0.1649	0.1	10000	0.02
35	0.1722	0.1	10000	0.02
36	0.171	0.1	10000	0.02
37	0.1743	0.1	10000	0.02
38	0.1757	0.1	10000	0.02
39	0.1841	0.1	10000	0.02
40	0.183	0.1	10000	0.02
41	0.1854	0.1	10000	0.02
42	0.1909	0.1	10000	0.02
43	0.1907	0.1	10000	0.02
44	0.1855	0.1	10000	0.02
45	0.1817	0.1	10000	0.02
46	0.181	0.1	10000	0.02
47	0.1847	0.1	10000	0.02
48	0.1855	0.1	10000	0.02
49	0.1895	0.1	10000	0.02
50	0.1904	0.1	10000	0.02
51	0.1852	0.1	10000	-0.02
52	0.1808	0.1	10000	-0.02
53	0.1733	0.1	10000	-0.02
54	0.1733	0.1	10000	-0.02
55	0.1796	0.1	10000	-0.02
56	0.1758	0.1	10000	-0.02
57	0.1652	0.1	10000	-0.02
58	0.1549	0.1	10000	-0.02
59	0.1574	0.1	10000	-0.02
60	0.159	0.1	10000	-0.02
61	0.152	0.1	10000	-0.02
62	0.1522	0.1	10000	-0.02
63	0.1497	0.1	10000	-0.02
64	0.1497	0.1	10000	-0.02
65	0.1461	0.1	10000	-0.02
66	0.1475	0.1	10000	-0.02
67	0.1418	0.1	10000	-0.02
68	0.1425	0.1	10000	-0.02
69	0.1362	0.1	10000	-0.02
70	0.132	0.1	10000	-0.02
71	0.1309	0.1	10000	-0.02
72	0.1248	0.1	10000	-0.02
73	0.1207	0.1	10000	-0.02
74	0.1185	0.1	10000	-0.02
75	0.1161	0.1	10000	-0.02
76	0.116	0.1	10000	-0.02
77	0.1119	0.1	10000	-0.02
78	0.1093	0.1	10000	-0.02
79	0.1021	0.1	10000	-0.02
80	0.0984	0.1	10000	-0.02
81	0.0906	0.1	10000	-0.02
82	0.0894	0.1	10000	-0.02
83	0.0888	0.1	10000	-0.02
84	0.0896	0.1	10000	-0.02
85	0.0852	0.1	10000	-0.02
86	0.0883	0.1	10000	-0.02
87	0.0851	0.1	10000	-0.02
88	0.0865	0.1	10000	-0.02
89	0.0835	0.1	10000	-0.02
90	0.0817	0.1	10000	-0.02
91	0.0798	0.1	10000	-0.02
92	0.0795	0.1	10000	-0.02
93	0.0738	0.1	10000	-0.02
94	0.0695	0.1	10000	-0.02
95	0.0681	0.1	10000	-0.02
96	0.0688	0.1	10000	-0.02
97	0.0684	0.1	10000	-0.02
98	0.0664	0.1	10000	-0.02
99	0.0644	0.1	10000	-0.02
100	0.063	0.1	10000	-0.02
101	0.0655	0.1	10000	0
102	0.068	0.1	10000	0
103	0.064	0.1	10000	0
104	0.0691	0.1	10000	0
105	0.0668	0.1	10000	0
106	0.0692	0.1	10000	0
107	0.0689	0.1	10000	0
108	0.0688	0.1	10000	0
109	0.0706	0.1	10000	0
110	0.0723	0.1	10000	0
111	0.0723	0.1	10000	0
112	0.0699	0.1	10000	0
113	0.0691	0.1	10000	0
114	0.0713	0.1	10000	0
115	0.0696	0.1	10000	0
116	0.0714	0.1	10000	0
117	0.0713	0.1	10000	0
118	0.0688	0.1	10000	0
119	0.0699	0.1	10000	0
120	0.071	0.1	10000	0
121	0.0679	0.1	10000	0
122	0.0693	0.1	10000	0
123	0.0682	0.1	10000	0
124	0.0667	0.1	10000	0
125	0.0646	0.1	10000	0
126	0.0646	0.1	10000	0
127	0.0615	0.1	10000	0
128	0.0679	0.1	10000	0
129	0.073	0.1	10000	0
130	0.0745	0.1	10000	0
131	0.0762	0.1	10000	0
132	0.0738	0.1	10000	0
133	0.0766	0.1	10000	0
134	0.0685	0.1	10000	0
135	0.0707	0.1	10000	0
136	0.075	0.1	10000	0
137	0.0747	0.1	10000	0
138	0.069	0.1	10000	0
139	0.0637	0.1	10000	0
140	0.0595	0.1	10000	0
141	0.0595	0.1	10000	0
142	0.0594	0.1	10000	0
143	0.0624	0.1	10000	0
